,jq_l1_industry_code,jq_l1_industry_name,jq_l2_industry_code,jq_l2_industry_name,sw_l1_industry_code,sw_l1_industry_name,sw_l2_industry_code,sw_l2_industry_name,sw_l2_industry_code,sw_l2_industry_name,zjw_industry_code,zjw_industry_name
000504.XSHE,HY006,医疗保健指数,HY491,生物科技指数,801150,医药生物I,801152,生物制品II,851531,生物制品III,M75,科技推广和应用服务业
000505.XSHE,HY011,房地产指数,HY481,食品加工与肉类指数,801010,农林牧渔I,801012,农产品加工II,850152,粮油加工III,C13,农副食品加工业
000506.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,B09,有色金属矿采选业
000507.XSHE,HY003,工业指数,HY441,海港与服务指数,801170,交通运输I,801171,港口II,851711,港口III,G55,水上运输业
000509.XSHE,HY003,工业指数,HY428,贸易公司与工业品经销商指数,801150,医药生物I,801156,医疗服务II,851561,医疗服务III,C29,橡胶和塑料制品业
000510.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801033,化学原料II,850322,氯碱III,C26,化学原料和化学制品制造业
000511.XSHE,,,,,,,,,,,C30,非金属矿物制品业
000513.XSHE,HY006,医疗保健指数,HY492,西药指数,801150,医药生物I,801151,化学制药II,851512,化学制剂III,C27,医药制造业
000514.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000515.XSHE,,,,,,,,,,,C26,化学原料和化学制品制造业
000516.XSHE,HY006,医疗保健指数,HY489,保健护理设施指数,801150,医药生物I,801156,医疗服务II,851561,医疗服务III,Q83,卫生
000517.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000518.XSHE,HY006,医疗保健指数,HY491,生物科技指数,801150,医药生物I,801152,生物制品II,851531,生物制品III,C27,医药制造业
000519.XSHE,HY003,工业指数,HY420,航天航空与国防指数,801740,国防军工I,801743,地面兵装II,857431,地面兵装III,C35,专用设备制造业
000520.XSHE,HY003,工业指数,HY436,海运指数,801170,交通运输I,801176,航运II,851761,航运III,G55,水上运输业
000521.XSHE,HY004,可选消费指数,HY449,家用电器指数,801110,家用电器I,801111,白色家电II,851111,冰箱III,C38,电气机械和器材制造业
000522.XSHE,,,,,,,,,,,C27,医药制造业
000523.XSHE,HY005,日常消费指数,HY483,家庭用品指数,801030,化工I,801034,化学制品II,850334,日用化学产品III,C26,化学原料和化学制品制造业
000524.XSHE,HY004,可选消费指数,HY457,酒店、度假村与豪华游轮指数,801210,休闲服务I,801214,旅游综合II,852131,旅游综合III,H61,住宿业
000525.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850333,农药III,C26,化学原料和化学制品制造业
000526.XSHE,HY004,可选消费指数,HY574,教育服务指数,801760,传媒I,801752,互联网传媒II,852222,移动互联网服务III,P82,教育
000527.XSHE,,,,,,,,,,,C38,电气机械和器材制造业
000528.XSHE,HY003,工业指数,HY426,建筑机械与重型卡车指数,801890,机械设备I,801074,专用设备II,850722,工程机械III,C35,专用设备制造业
000529.XSHE,HY003,工业指数,HY425,综合类行业指数,801760,传媒I,801761,文化传媒II,852241,平面媒体III,C13,农副食品加工业
000530.XSHE,HY003,工业指数,HY427,工业机械指数,801890,机械设备I,801072,通用机械II,850715,制冷空调设备III,C34,通用设备制造业
000531.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851611,火电III,D44,电力、热力生产和供应业
000532.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801083,元件II,850823,被动元件III,S90,综合
000533.XSHE,HY004,可选消费指数,HY449,家用电器指数,801730,电气设备I,801734,高低压设备II,857342,中压设备III,C38,电气机械和器材制造业
000534.XSHE,HY011,房地产指数,HY491,生物科技指数,801150,医药生物I,801152,生物制品II,851531,生物制品III,C27,医药制造业
000535.XSHE,,,,,,,,,,,C33,金属制品业
000536.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801084,光学光电子II,850831,显示器件III,C39,计算机、通信和其他电子设备制造业
000537.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000538.XSHE,HY006,医疗保健指数,HY572,中药指数,801150,医药生物I,801155,中药II,851521,中药III,C27,医药制造业
000539.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851611,火电III,D44,电力、热力生产和供应业
000540.XSHE,HY011,房地产指数,HY509,房地产开发指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000541.XSHE,HY004,可选消费指数,HY449,家用电器指数,801080,电子I,801084,光学光电子II,850832,LEDIII,C38,电气机械和器材制造业
000543.XSHE,HY010,公用事业指数,HY528,电力指数,801160,公用事业I,801161,电力II,851611,火电III,D44,电力、热力生产和供应业
000544.XSHE,HY010,公用事业指数,HY531,水务指数,801160,公用事业I,801164,水务II,851621,水务III,D46,水的生产和供应业
000545.XSHE,HY002,材料指数,HY405,基础化工指数,801030,化工I,801033,化学原料II,850324,其他化学原料III,C26,化学原料和化学制品制造业
000546.XSHE,HY002,材料指数,HY410,建材指数,801710,建筑材料I,801711,水泥制造II,850612,水泥制造III,N77,生态保护和环境治理业
000547.XSHE,HY003,工业指数,HY420,航天航空与国防指数,801740,国防军工I,801743,地面兵装II,857431,地面兵装III,C39,计算机、通信和其他电子设备制造业
000548.XSHE,HY003,工业指数,HY440,公路与铁路指数,801170,交通运输I,801175,高速公路II,851731,高速公路III,G54,道路运输业
000549.XSHE,,,,,,,,,,,C36,汽车制造业
000550.XSHE,HY004,可选消费指数,HY444,汽车制造指数,801880,汽车I,801094,汽车整车II,850912,商用载货车III,C36,汽车制造业
000551.XSHE,HY003,工业指数,HY425,综合类行业指数,801890,机械设备I,801074,专用设备II,850729,环保设备III,S90,综合
000552.XSHE,HY001,能源指数,HY571,煤炭与消费用燃料指数,801020,采掘I,801021,煤炭开采II,850221,煤炭开采III,B06,煤炭开采和洗选业
000553.XSHE,HY002,材料指数,HY407,化肥与农用化工指数,801030,化工I,801034,化学制品II,850333,农药III,C26,化学原料和化学制品制造业
000554.XSHE,HY001,能源指数,HY404,石油与天然气的炼制和销售指数,801030,化工I,801035,石油化工II,850313,石油贸易III,F51,批发业
000555.XSHE,HY008,信息技术指数,HY511,信息科技咨询与其它服务指数,801750,计算机I,801222,计算机应用II,852226,IT服务III,I65,软件和信息技术服务业
000557.XSHE,HY003,工业指数,HY437,铁路运输指数,801170,交通运输I,801177,铁路运输II,851771,铁路运输III,G53,铁路运输业
000558.XSHE,HY004,可选消费指数,HY458,休闲设施指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000559.XSHE,HY004,可选消费指数,HY442,机动车零配件与设备指数,801880,汽车I,801093,汽车零部件II,850921,汽车零部件III,C36,汽车制造业
000560.XSHE,HY011,房地产指数,HY593,房地产经营公司指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000561.XSHE,HY008,信息技术指数,HY516,通信设备指数,801740,国防军工I,801742,航空装备II,857421,航空装备III,C39,计算机、通信和其他电子设备制造业
000562.XSHE,,,,,,,,,,,J67,资本市场服务
000563.XSHE,HY007,金融指数,HY500,资产管理与托管银行指数,801790,非银金融I,801191,多元金融II,851921,多元金融III,J69,其他金融业
000564.XSHE,HY004,可选消费指数,HY467,百货商店指数,801200,商业贸易I,801203,一般零售II,852031,百货III,F52,零售业
